2022-03-19 02:04:01,895; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 2, from: 2022-03-19 01:00:00, to: 2022-03-19 02:00:00
2022-03-19 02:04:01,897; INFO; Access Report - Temperature: formatting and saving file: Relatório de acesso - Temperatura - 2022-03-19 01-00-00 - 2022-03-19 02-00-00.xlsx.
2022-03-19 02:04:02,005; INFO; Access Report - Temperature: file saved: Relatório de acesso - Temperatura - 2022-03-19 01-00-00 - 2022-03-19 02-00-00.xlsx.
2022-03-19 02:14:02,014; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-19 01-00-00 - 2022-03-19 02-00-00.xlsx already exists.
2022-03-19 02:24:02,024; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-19 01-00-00 - 2022-03-19 02-00-00.xlsx already exists.
2022-03-19 02:25:09,756; INFO; 10.19.1.101: Input status: 0010
2022-03-19 02:25:09,758; INFO; Requesting access: Equipment: 132, identifier:  , request: 4. Try 1/2.
2022-03-19 02:25:09,766; INFO; Request number 18205351. Response: BOTÃO.
2022-03-19 02:25:09,778; INFO; Registered access.
2022-03-19 02:25:09,779; INFO; Getting person and access info for access_request_number: 18205351
2022-03-19 02:25:09,966; WARNING; Warning in ApiController.get_person_access_info. No data received for access_request_number: 18205351. Access was probably via button.
2022-03-19 02:25:10,429; INFO; 10.19.1.101: Input status: 0000
2022-03-19 02:29:00,185; INFO; Requesting access: Equipment: 133, identifier: 3C970460, request: 1. Try 1/2.
2022-03-19 02:29:00,279; INFO; Request number 18205857. Response: ENTRADA / SAÍDA.
2022-03-19 02:29:00,321; INFO; Registered access.
2022-03-19 02:29:00,322; INFO; Getting person and access info for access_request_number: 18205857
2022-03-19 02:29:00,454; INFO; Getting photo for person_number: 25568
2022-03-19 02:29:00,462; INFO; Sending data to dashboard.
2022-03-19 02:29:02,461; ERROR; Error in ApiController.get_info_and_photo_and_update_dashboad. Error message: [WinError 10061] No connection could be made because the target machine actively refused itaccess_request_number: 18205857.
2022-03-19 02:34:02,035; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-19 01-00-00 - 2022-03-19 02-00-00.xlsx already exists.
2022-03-19 02:44:02,290; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-19 01-00-00 - 2022-03-19 02-00-00.xlsx already exists.
2022-03-19 02:54:02,422; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-19 01-00-00 - 2022-03-19 02-00-00.xlsx already exists.
2022-03-19 03:04:02,448; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-19 02-00-00 - 2022-03-19 03-00-00.xlsx does not exist. Starting report build.
2022-03-19 03:04:18,277; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-03-19 02:00:00, to: 2022-03-19 03:00:00
2022-03-19 03:04:18,518; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 1, from: 2022-03-19 02:00:00, to: 2022-03-19 03:00:00
2022-03-19 03:04:18,519; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-03-19 02:00:00, to: 2022-03-19 03:00:00
