2022-03-11 00:48:45,937; WARNING; All SocketControllers offline for module 10.19.217.103, try 3/3. Module removed from module_list.
2022-03-11 00:48:47,781; WARNING; All SocketControllers offline for module 10.19.217.103, try 3/3. Module removed from module_list.
2022-03-11 00:48:48,014; WARNING; All SocketControllers offline for module 10.19.217.103, try 3/3. Module removed from module_list.
2022-03-11 00:48:48,497; WARNING; All SocketControllers offline for module 10.19.217.103, try 3/3. Module removed from module_list.
2022-03-11 00:48:48,845; WARNING; All SocketControllers offline for module 10.19.217.103, try 3/3. Module removed from module_list.
2022-03-11 00:48:53,053; INFO; Client connected, address: 10.19.217.103:5005
2022-03-11 00:48:53,056; INFO; Updated module list: IP: 10.19.0.110, IP: 10.19.1.101, IP: 10.19.1.103, IP: 10.19.1.105, IP: 10.19.18.103, IP: 10.19.202.103, IP: 10.19.205.103, IP: 10.19.208.103, IP: 10.19.211.103, IP: 10.19.212.103, IP: 10.19.217.103, IP: 10.19.221.104, IP: 10.19.226.101, IP: 10.19.226.108, IP: 10.19.226.110, 
2022-03-11 00:48:53,068; INFO; IO parameters identified for IP: 10.19.217.103, nu_IO: 1
2022-03-11 00:48:53,078; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 2. Try 1/2.
2022-03-11 00:48:55,107; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 2. Try 2/2.
2022-03-11 00:48:57,118; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 1/2.
2022-03-11 00:48:59,132; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 3. Try 2/2.
2022-03-11 00:49:01,158; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 1/2.
2022-03-11 00:49:03,171; WARNING; IP/relay not found by ApiController.get_eqpt_parameters_by_IP_relay. IP: 10.19.217.103, Relay: 4. Try 2/2.
2022-03-11 00:49:52,225; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-10 23-00-00 - 2022-03-11 00-00-00.xlsx already exists.
2022-03-11 00:50:16,747; INFO; Client connected, address: 10.19.217.103:5005
