2022-03-16 02:09:49,734; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-03-16 01-00-00 - 2022-03-16 02-00-00.xlsx does not exist. Starting report build.
2022-03-16 02:10:12,360; ERROR; Error in SS7520FaceT.time_set_time_zone. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&NTP.Address=a.ntp.br&NTP.Enable=false&NTP.TimeZone=22&NTP.TimeZoneDesc=Bras%C3%ADlia&NTP.UpdatePeriod=10 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000082BC856588>, 'Connection to 10.19.80.161 timed out. (connect timeout=10)')). IP: 10.19.80.161.
2022-03-16 02:10:22,364; ERROR; Error in SS7520FaceT.time_set. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/global.cgi?action=setCurrentTime&time=2022-03-16%2002:10:12 (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x00000082BC856390>, 'Connection to 10.19.80.161 timed out. (connect timeout=10)')). IP: 10.19.80.161.
2022-03-16 02:10:43,362; ERROR; Error in SS7520FaceT.config_temperature_only. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&MeasureTemperature.OnlyTemperatureMode=true (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000082BC98A518>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond')). IP: 10.19.80.161.
2022-03-16 02:11:04,364; ERROR; Error in SS7520FaceT.config_mask_mode. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&MeasureTemperature.MaskOpt=0 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000082BC98AB70>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond')). IP: 10.19.80.161.
2022-03-16 02:11:25,369; ERROR; Error in SS7520FaceT.set_unlock_hold_interval. Error message: HTTPConnectionPool(host='10.19.80.161', port=80): Max retries exceeded with url: /cgi-bin/configManager.cgi?action=setConfig&AccessControl%5B0%5D.UnlockHoldInterval=10000 (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x00000082BCA45438>: Failed to establish a new connection: [WinError 10060] A connection attempt failed because the connected party did not properly respond after a period of time, or established connection failed because connected host has failed to respond')). IP: 10.19.80.161.
2022-03-16 02:11:25,370; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-03-16 01:00:00, to: 2022-03-16 02:00:00
2022-03-16 02:11:25,523; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 1, from: 2022-03-16 01:00:00, to: 2022-03-16 02:00:00
2022-03-16 02:11:25,524; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-03-16 01:00:00, to: 2022-03-16 02:00:00
2022-03-16 02:11:25,674; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 2, from: 2022-03-16 01:00:00, to: 2022-03-16 02:00:00
