2022-02-22 01:45:57,201; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-22 00-00-00 - 2022-02-22 01-00-00.xlsx already exists.
2022-02-22 01:55:57,358; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-22 00-00-00 - 2022-02-22 01-00-00.xlsx already exists.
2022-02-22 02:05:57,622; INFO; Access Report - Temperature: File Relatório de acesso - Temperatura - 2022-02-22 01-00-00 - 2022-02-22 02-00-00.xlsx does not exist. Starting report build.
2022-02-22 02:06:11,598; INFO; Getting person and access info for equipment_number: 3, access_made_type: 1, from: 2022-02-22 01:00:00, to: 2022-02-22 02:00:00
2022-02-22 02:06:11,832; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 1, from: 2022-02-22 01:00:00, to: 2022-02-22 02:00:00
2022-02-22 02:06:11,833; INFO; Getting person and access info for equipment_number: 3, access_made_type: 2, from: 2022-02-22 01:00:00, to: 2022-02-22 02:00:00
2022-02-22 02:06:12,000; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 2, from: 2022-02-22 01:00:00, to: 2022-02-22 02:00:00
2022-02-22 02:06:12,001; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-02-22 01:00:00, to: 2022-02-22 02:00:00
2022-02-22 02:06:12,221; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 1, from: 2022-02-22 01:00:00, to: 2022-02-22 02:00:00
2022-02-22 02:06:12,222; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-02-22 01:00:00, to: 2022-02-22 02:00:00
2022-02-22 02:06:12,464; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 2, from: 2022-02-22 01:00:00, to: 2022-02-22 02:00:00
2022-02-22 02:06:12,465; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-02-22 01:00:00, to: 2022-02-22 02:00:00
2022-02-22 02:06:12,665; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-02-22 01:00:00, to: 2022-02-22 02:00:00
2022-02-22 02:06:12,666; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-02-22 01:00:00, to: 2022-02-22 02:00:00
