2022-02-20 03:07:24,135; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 3, access_made_type: 2, from: 2022-02-20 02:00:00, to: 2022-02-20 03:00:00
2022-02-20 03:07:24,136; INFO; Getting person and access info for equipment_number: 5, access_made_type: 1, from: 2022-02-20 02:00:00, to: 2022-02-20 03:00:00
2022-02-20 03:07:24,323; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 1, from: 2022-02-20 02:00:00, to: 2022-02-20 03:00:00
2022-02-20 03:07:24,323; INFO; Getting person and access info for equipment_number: 5, access_made_type: 2, from: 2022-02-20 02:00:00, to: 2022-02-20 03:00:00
2022-02-20 03:07:24,467; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 5, access_made_type: 2, from: 2022-02-20 02:00:00, to: 2022-02-20 03:00:00
2022-02-20 03:07:24,468; INFO; Getting person and access info for equipment_number: 7, access_made_type: 1, from: 2022-02-20 02:00:00, to: 2022-02-20 03:00:00
2022-02-20 03:07:24,613; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 1, from: 2022-02-20 02:00:00, to: 2022-02-20 03:00:00
2022-02-20 03:07:24,613; INFO; Getting person and access info for equipment_number: 7, access_made_type: 2, from: 2022-02-20 02:00:00, to: 2022-02-20 03:00:00
2022-02-20 03:07:24,760; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 7, access_made_type: 2, from: 2022-02-20 02:00:00, to: 2022-02-20 03:00:00
2022-02-20 03:07:24,761; INFO; Getting person and access info for equipment_number: 9, access_made_type: 1, from: 2022-02-20 02:00:00, to: 2022-02-20 03:00:00
2022-02-20 03:07:24,908; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 1, from: 2022-02-20 02:00:00, to: 2022-02-20 03:00:00
2022-02-20 03:07:24,909; INFO; Getting person and access info for equipment_number: 9, access_made_type: 2, from: 2022-02-20 02:00:00, to: 2022-02-20 03:00:00
2022-02-20 03:07:25,053; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 9, access_made_type: 2, from: 2022-02-20 02:00:00, to: 2022-02-20 03:00:00
2022-02-20 03:07:25,054; INFO; Getting person and access info for equipment_number: 10, access_made_type: 1, from: 2022-02-20 02:00:00, to: 2022-02-20 03:00:00
2022-02-20 03:07:25,208; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 1, from: 2022-02-20 02:00:00, to: 2022-02-20 03:00:00
2022-02-20 03:07:25,209; INFO; Getting person and access info for equipment_number: 10, access_made_type: 2, from: 2022-02-20 02:00:00, to: 2022-02-20 03:00:00
2022-02-20 03:07:25,353; WARNING; Warning in ApiController.get_access_made_info. No data received for equipment_number: 10, access_made_type: 2, from: 2022-02-20 02:00:00, to: 2022-02-20 03:00:00
